repo,url,how,evidence_url
OpenFreeEnergy/openfe-benchmarks,https://github.com/OpenFreeEnergy/openfe-benchmarks,import openff.toolkit (Python),https://github.com/OpenFreeEnergy/openfe-benchmarks/blob/59f994d4aaf9ca4c18a32003968fcf74adaed228/openfe_benchmarks/data/data_generation/generate_mnsol_data.py
OpenFreeEnergy/openfe-gromacs,https://github.com/OpenFreeEnergy/openfe-gromacs,import openff.toolkit (Python),https://github.com/OpenFreeEnergy/openfe-gromacs/blob/0b4ad7e28fff487d8e70cb6a251eaf719f4fb3d6/openfe_gromacs/protocols/gromacs_utils/create_systems.py
OpenFreeEnergy/openfe_protocol_utils,https://github.com/OpenFreeEnergy/openfe_protocol_utils,import openff.toolkit (Python),https://github.com/OpenFreeEnergy/openfe_protocol_utils/blob/d52e4bee3f2fe686ab834117bad41b43ba47f091/src/openfe_protocol_utils/system_creation/charge_generation.py
OpenFreeEnergy/openfe_skunkworks,https://github.com/OpenFreeEnergy/openfe_skunkworks,import openff.toolkit (Python),https://github.com/OpenFreeEnergy/openfe_skunkworks/blob/b98a7231b69539566488125b2e7c1e2a7a34ae8c/src/openfe_skunkworks/protocols/openmm_afe/base.py
OpenFreeEnergy/pontibus,https://github.com/OpenFreeEnergy/pontibus,import openff.toolkit (Python),https://github.com/OpenFreeEnergy/pontibus/blob/4dedbad7d2dfdb669f34e3ce68a9a97d8884f4aa/src/pontibus/utils/system_creation.py
PEFrankel/OpenFF-Bilayer,https://github.com/PEFrankel/OpenFF-Bilayer,import openff.toolkit (Jupyter notebook),https://github.com/PEFrankel/OpenFF-Bilayer/blob/8578919c1b18174173e6fa7569648a69b34d9208/Procedure/Procedure.ipynb
Pkoiralap/DynamicBindDocker,https://github.com/Pkoiralap/DynamicBindDocker,from openff.toolkit import ... (Python),https://github.com/Pkoiralap/DynamicBindDocker/blob/cf6bab3a33cd5b31ec9761691de2fe9c7882e94a/utils/relax.py
PooleChem/Pyrite,https://github.com/PooleChem/Pyrite,import openff.toolkit (Python),https://github.com/PooleChem/Pyrite/blob/d6961670b46b1c0a1b8388c523070724d08ad20b/pyrite/scoring/openmm.py
Popov-Lab-UNC/mlimplicitsolvent-RAW,https://github.com/Popov-Lab-UNC/mlimplicitsolvent-RAW,import openff.toolkit (Python),https://github.com/Popov-Lab-UNC/mlimplicitsolvent-RAW/blob/52b03ada9ece3ab1a586371db0fe1d201b260f54/conformation_sampling.py
Psivant/femto,https://github.com/Psivant/femto,import openff.toolkit (Python),https://github.com/Psivant/femto/blob/ec7a65da5ee3e28124e565a608b951e50c65651a/femto/md/prepare.py
QCMM/ffparaim,https://github.com/QCMM/ffparaim,import openff.toolkit (Python),https://github.com/QCMM/ffparaim/blob/46fffbf5e02fc7712cfcbf78afd19d490bafc3af/ffparaim/mdtools.py
QuaidAlchemy/quaid,https://github.com/QuaidAlchemy/quaid,import openff.toolkit (Python),https://github.com/QuaidAlchemy/quaid/blob/170e0e1b6090ec1764f7c393cb8db447793c8d1c/quaid/alchemy/schema/charge.py
